"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/SHANTI+GANGA+HOSPITAL/data=!4m7!3m6!1s0x396db3b65c975c0d:0xd051b83add5b5946!8m2!3d26.9423385!4d75.7431301!16s%2Fg%2F11rr29cntz!19sChIJDVyXXLazbTkRRllb3Tq4UdA?authuser=0&hl=en&rclk=1","SHANTI GANGA HOSPITAL","4.8","(108)","Hospital","·","","·","Kanta chauraha","Closed","· Opens 9 am","·","070421 67226","https://www.shantigangahospital.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","doctor","and everyone here are really polite and helpful."""
"https://www.google.com/maps/place/Adarsh+Clinic/data=!4m7!3m6!1s0x396db3372e93df27:0x9ee30752519e3c76!8m2!3d26.9440072!4d75.7463636!16s%2Fg%2F11g0m4y1nh!19sChIJJ9-TLjezbTkRdjyeUVIH454?authuser=0&hl=en&rclk=1","Adarsh Clinic","3.8","(4)","Medical clinic","·","","WPVW+JG5","Closed","·","","· Opens 9:30 am","094142 38599","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Day care clinic..""","",""
"https://www.google.com/maps/place/Radha+Nursing+home+%26+General+Hospital/data=!4m7!3m6!1s0x396db499bfffffff:0xd4c2c9717010fa49!8m2!3d26.9460435!4d75.7358797!16s%2Fg%2F1tfn140y!19sChIJ____v5m0bTkRSfoQcHHJwtQ?authuser=0&hl=en&rclk=1","Radha Nursing home & General Hospital","4.1","(63)","Nursing home","·","","·","Open 24 hours","132 A, Joshi Marg, Kalwar Rd","·","","0141 234 5044","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Dr","radha and team provides fantastic treatment ."""
"https://www.google.com/maps/place/Monika+Hospital+%28Hospital+Jhotwara%29/data=!4m7!3m6!1s0x396db30e9e8921af:0xf3d8ae7d8e978840!8m2!3d26.9431827!4d75.7532346!16s%2Fg%2F11c2r73x_r!19sChIJryGJng6zbTkRQIiXjn2u2PM?authuser=0&hl=en&rclk=1","Monika Hospital (Hospital Jhotwara)","3.9","(175)","Hospital","·","","·","A-17, WQV3+C5P, Kalwar Rd, opp. LIC OFFICE","Open 24 hours","","·","094142 92582","https://monikahospital.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","doctors","are highly skilled, caring, and explained everything clearly."""
"https://www.google.com/maps/place/Dr+Imran+Skin+%26+Hair+Clinic/data=!4m7!3m6!1s0x396db34c64d99b9d:0xd3a47a7bb66a34b6!8m2!3d26.9440592!4d75.7466631!16s%2Fg%2F11scjtnnr1!19sChIJnZvZZEyzbTkRtjRqtnt6pNM?authuser=0&hl=en&rclk=1","Dr Imran Skin & Hair Clinic","4.8","(202)","Dermatologist","·","","Boring Choraha, GB Mention, Kalwar Rd","·","Closed","· Opens 11 am Wed","","073782 84828","https://www.drimranskinclinic.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best doctor In Jhotwara area I got  result very fast and positive""","",""
"https://www.google.com/maps/place/Anjum+Poly+Clinic/data=!4m7!3m6!1s0x396db308d6400a5b:0xc7272e91b574e0c7!8m2!3d26.9467663!4d75.7511667!16s%2Fg%2F11hzqg378t!19sChIJWwpA1gizbTkRx-B0tZEuJ8c?authuser=0&hl=en&rclk=1","Anjum Poly Clinic","4.8","(5)","Medical clinic","·","","50A","","","","","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best staff best treatment also affordable medicine""","",""
"https://www.google.com/maps/place/Dr+Rakesh+-+Child+Clinic/data=!4m7!3m6!1s0x396db38565191025:0x1f445507d919e615!8m2!3d26.9367982!4d75.7438385!16s%2Fg%2F11sd5c6xdc!19sChIJJRAZZYWzbTkRFeYZ2QdVRB8?authuser=0&hl=en&rclk=1","Dr Rakesh - Child Clinic","5.0","(14)","Medical clinic","·","","104, Ganga Path","Closed","·","","· Opens 5 pm","081047 12187","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Strongly recommend for preterm babies and critical care.""","",""
"https://www.google.com/maps/place/Dr+Arif+Khan+MD+Medicine/data=!4m7!3m6!1s0x396db3b7f6de5895:0xdea14a8df59635ec!8m2!3d26.9448905!4d75.7486937!16s%2Fg%2F11xkvg_x90!19sChIJlVje9rezbTkR7DWW9Y1Kod4?authuser=0&hl=en&rclk=1","Dr Arif Khan MD Medicine","5.0","(90)","Doctor","·","","Kalwar Rd, opp. Meditech Lab, near Boring Chouraha","Closed","·","","· Opens 5 pm","096491 56395","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They diagnosed my issue quickly and explained everything clearly.""","",""
"https://www.google.com/maps/place/Dr.+Prabhu+Singh/data=!4m7!3m6!1s0x396db306391361db:0x2f70b3706e7c084b!8m2!3d26.94317!4d75.7548975!16s%2Fg%2F11pcps8m98!19sChIJ22ETOQazbTkRSwh8bnCzcC8?authuser=0&hl=en&rclk=1","Dr. Prabhu Singh","4.8","(224)","Pediatrician","·","","Shiv mandir, Sahara Child Hospital 9- A, Kalwar Road, Jhotwara, Near Medical Centre, 9A, Kalwar Rd, Near medical center","·","Closed","· Opens 8 am","","098282 27407","https://drprabhusingh.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent treatment, supportive staff,all over excellent""","",""
"https://www.google.com/maps/place/Bhavika+Care+Connect+Medical+%26+Diagnostic+Centre+%E2%80%93+Full+Body+Checkup+in+Jhotwara,+Kalwar+Road/data=!4m7!3m6!1s0x396db396d57728cd:0xfadec40c5bde9c99!8m2!3d26.9482427!4d75.7175255!16s%2Fg%2F11x2pszqm_!19sChIJzSh31ZazbTkRmZzeWwzE3vo?authuser=0&hl=en&rclk=1","Bhavika Care Connect Medical & Diagnostic Centre – Full Body Checkup in Jhotwara, Kalwar Road","5.0","(7)","Medical Center","·","","4, Shop no 3, Kalwar Rd","Closed","·","","· Opens 7 am","089469 09643","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Quick report and Best diagnosis …staff behaviour is nice with every ...""","",""
