"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6","e4rVHe"
"https://www.google.com/maps/place/Anchor+Mannan+Thakrral/data=!4m7!3m6!1s0x65265b6187dd49a7:0x98c71b8d141702d2!8m2!3d37.3944195!4d150.06225!16s%2Fg%2F11svvvjyw7!19sChIJp0ndh2FbJmUR0gIXFI0bx5g?authuser=0&hl=en&rclk=1","Anchor Mannan Thakrral","5.0","(24)","Artist","","·","Closed","","091157 13393","https://www.mannanthakrral.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mannan ideas and hosting an event is awesome...""","· Opens 10 am Tue",""
"https://www.google.com/maps/place/Anchor+Chandini+Sehgal/data=!4m7!3m6!1s0xa6414dc7d4a2fa89:0xe622ee6398f330b6!8m2!3d28.5273522!4d77.2089851!16s%2Fg%2F11w7dmt2dt!19sChIJifqi1MdNQaYRtjDzmGPuIuY?authuser=0&hl=en&rclk=1","Anchor Chandini Sehgal","5.0","(1)","Event planner","","","","","096502 27165","https://www.chandinisehgal.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... best anchors in delhi n Ncr
Had great experience of her anchoring""","",""
"https://www.google.com/maps/place/Anchor+Wire+Rope+Co./data=!4m7!3m6!1s0x390cfd3df43f317b:0x621e86d3cc1564c0!8m2!3d28.6467772!4d77.2244471!16s%2Fg%2F12hk3w774!19sChIJezE_9D39DDkRwGQVzNOGHmI?authuser=0&hl=en&rclk=1","Anchor Wire Rope Co.","4.1","(9)","Manufacturer","·","4037, 4105, Ajmere Gate Rd","","","098111 64325","https://vypzee.com/delhi/delhi/ajmeri-gate/anchor-wire-rope-co","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""One of the best product company with reasonable price""","",""
"https://www.google.com/maps/place/SakshiOnStage+%E2%80%93+Corporate+%26+Social+Event+Anchor,+Speaker+%26+Career+Counsellor/data=!4m7!3m6!1s0x8d82fba005661e1f:0xd7f37dabe2b39394!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11zfqx33wm!19sChIJHx5mBaD7go0RlJOz4qt989c?authuser=0&hl=en&rclk=1","SakshiOnStage – Corporate & Social Event Anchor, Speaker & Career Counsellor","5.0","(1)","Entertainer","Open 24 hours","·","","","087963 29987","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sakshi hosted our corporate event and was excellent.""","",""
"https://www.google.com/maps/place/Anchor+Abhay+%E2%80%93+Best+Anchor+for+Corporate+%26+social+events/data=!4m7!3m6!1s0x390d1b7c6026a859:0x3484ed59170d5a59!8m2!3d28.599232!4d77.0177919!16s%2Fg%2F11wntv2xv1!19sChIJWagmYHwbDTkRWVoNF1nthDQ?authuser=0&hl=en&rclk=1","Anchor Abhay – Best Anchor for Corporate & social events","5.0","(9)","Event planner","·","Flat no - 970, DDA Janta Flats, N.S.I.T","","","","https://www.instagram.com/anchorabhay/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best anchor in Delhi for all corporate event.""","",""
"https://www.google.com/maps/place/Anchor+Gaurav+aka+Ungli+Baba/data=!4m7!3m6!1s0x390cfdc3b1fff94b:0xa1284acd881de552!8m2!3d28.456398!4d76.973849!16s%2Fg%2F11fy4h1pxs!19sChIJS_n_scP9DDkRUuUdiM1KKKE?authuser=0&hl=en&rclk=1","Anchor Gaurav aka Ungli Baba","4.9","(99)","Artist","·","BPTP Terra, T20 302","","·","080108 71801","http://www.anchorgaurav.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Amazing anchoring and team handling activities..
#UngiBaba""","",""
"https://www.google.com/maps/place/Aman+Malhotra/data=!4m7!3m6!1s0x390d02323aad3499:0xb045e71805b66ad4!8m2!3d28.695402!4d77.153549!16s%2Fg%2F11f122p__4!19sChIJmTStOjICDTkR1Gq2BRjnRbA?authuser=0&hl=en&rclk=1","Aman Malhotra","","","Entertainer","·","42,Ashiana Apartment,Madhuban Chowk,Pitampura,New Delhi.","Open 24 hours","","","https://shorturl.at/VQ6MO","","Website","","Directions","","On-site services","","No reviews"
"https://www.google.com/maps/place/VS+ANCHOR+CONSUMER+DISTRIBUTER/data=!4m7!3m6!1s0x390da919bfeaa9b9:0xf36dba93fea875d6!8m2!3d28.8203459!4d77.0633689!16s%2Fg%2F11nv22x7pn!19sChIJuanqvxmpDTkR1nWo_pO6bfM?authuser=0&hl=en&rclk=1","VS ANCHOR CONSUMER DISTRIBUTER","5.0","(5)","FMCG Goods Wholesaler","Open 24 hours","·","","·","","","","Directions","","","","On-site services not available","SHUBHAM DUBEY",""
"https://www.google.com/maps/place/Anchor+Shilpa+Bhasin/data=!4m7!3m6!1s0x390d03f696ebb4af:0x55c185f71c771f2c!8m2!3d28.6250829!4d77.1114249!16s%2Fg%2F11p9j0hst0!19sChIJr7TrlvYDDTkRLB93HPeFwVU?authuser=0&hl=en&rclk=1","Anchor Shilpa Bhasin","4.9","(15)","Entertainer","","·","","","092123 73942","http://www.shilpabhasin.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Amazing Anchor 👍""","",""
"https://www.google.com/maps/place/Santosh+Tandon/data=!4m7!3m6!1s0x390cfc3dea9389a9:0x67adc99e7fc62158!8m2!3d28.7009239!4d77.2742422!16s%2Fg%2F11g6rkzmvd!19sChIJqYmT6j38DDkRWCHGf57JrWc?authuser=0&hl=en&rclk=1","Santosh Tandon","4.9","(22)","Artist","·","C-8/3, Main Rd, near Verma Jewellers","Open 24 hours","·","099105 99658","https://santoshtandon.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good","",""
